Name,Address,Borough,Coordinate
Eltingville Post Office,"4455 Amboy Rd, Staten Island, NY 10312",Staten Island,"(40.5449001, -74.1628515)"
Ferry Terminal Post Office,"3 Ferry Terminal Dr, Staten Island, NY 10301",Staten Island,"(40.64409819999999, -74.0725489)"
Great Kills Post Office,"1 Nelson Ave, Staten Island, NY 10308",Staten Island,"(40.55078, -74.1509594)"
Mariners Harbor Finance Post Office,"2079 Forest Ave Ste 1, Staten Island, NY 10303",Staten Island,"(40.6265833, -74.15857249999999)"
New Dorp Post Office,"2562 Hylan Blvd, Staten Island, NY 10306",Staten Island,"(40.568405, -74.11032349999999)"
New Springville Post Office,"2845 Richmond Ave Ste 15, Staten Island, NY 10314",Staten Island,"(40.5760294, -74.1682984)"
Port Richmond Post Office,"364 Port Richmond Ave, Staten Island, NY 10302",Staten Island,"(40.63307229999999, -74.1371628)"
Princes Bay Post Office,"645 Rossville Ave Ste 3, Staten Island, NY 10309",Staten Island,"(40.542817, -74.20779809999999)"
Rosebank Post Office,"567 Tompkins Ave, Staten Island, NY 10305",Staten Island,"(40.6123583, -74.07081459999999)"
Saint George Post Office,"45 Bay St Ste 2, Staten Island, NY 10301",Staten Island,"(40.6410619, -74.0754497)"
South Shore Annex Post Office,"3031 Veterans Rd W, Staten Island, NY 10309",Staten Island,"(40.5271631, -74.23545279999999)"
Stapleton Post Office,"160 Tompkins Ave, Staten Island, NY 10304",Staten Island,"(40.6204298, -74.077713)"
Staten Island Post Office,"550 Manor Rd Ste 1, Staten Island, NY 10314",Staten Island,"(40.61434999999999, -74.12317019999999)"
Staten Island 2 Post Office,"550 Manor Rd Ste 8, Staten Island, NY 10314",Staten Island,"(40.61434999999999, -74.12317019999999)"
Tottenville Post Office,"228 Main St, Staten Island, NY 10307",Staten Island,"(40.5095008, -74.24762179999999)"
West New Brighton Post Office,"1015 Castleton Ave, Staten Island, NY 10310",Staten Island,"(40.6348656, -74.116334)"
Adelphi Post Office,"950 Fulton St, Brooklyn, NY 11238",Brooklyn,"(40.6822874, -73.96275419999999)"
Bath Beach Post Office,"1865 Benson Ave, Brooklyn, NY 11214",Brooklyn,"(40.6042007, -74.0026987)"
Bay Post Office,"2628 E 18th St, Brooklyn, NY 11235",Brooklyn,"(40.58762249999999, -73.9516007)"
Bay Ridge Post Office,"5501 7th Ave, Brooklyn, NY 11220",Brooklyn,"(40.6393337, -74.0087585)"
Blythebourne Post Office,"1200 51st St, Brooklyn, NY 11219",Brooklyn,"(40.6348998, -73.9954401)"
Brevoort Post Office,"1205 Atlantic Ave, Brooklyn, NY 11216",Brooklyn,"(40.6787992, -73.95095909999999)"
Brighton Post Office,"3157 Coney Island Ave Ste 1, Brooklyn, NY 11235",Brooklyn,"(40.5791015, -73.9594153)"
Brownsville Post Office,"167 Bristol St, Brooklyn, NY 11212",Brooklyn,"(40.6672908, -73.9116866)"
Bush Terminal Carrier Annex Post Office,"147 41st St Ste 1, Brooklyn, NY 11232",Brooklyn,"(40.6548654, -74.0125316)"
Bush Terminal Retail Post Office,"775 4th Ave Ste 2, Brooklyn, NY 11232",Brooklyn,"(40.6594116, -73.9986627)"
Bushwick Post Office,"1369 Broadway, Brooklyn, NY 11221",Brooklyn,"(40.6894779, -73.9215154)"
Cadman Plaza Post Office,"271 Cadman Plz E Ste 2, Brooklyn, NY 11201",Brooklyn,"(40.69590729999999, -73.9899798)"
Canarsie Post Office,"10201 Flatlands Ave, Brooklyn, NY 11236",Brooklyn,"(40.6464764, -73.896892)"
Coney Island Post Office,"2727 Mermaid Ave, Brooklyn, NY 11224",Brooklyn,"(40.575962, -73.9940677)"
Cypress Hills Post Office,"222 Crescent St, Brooklyn, NY 11208",Brooklyn,"(40.6839287, -73.87248129999999)"
Dumbo Apc Post Office,"84 Front St Ste Apc, Brooklyn, NY 11201",Brooklyn,"(40.7023198, -73.98925799999999)"
Dyker Heights Post Office,"8320 13th Ave, Brooklyn, NY 11228",Brooklyn,"(40.6155364, -74.0127983)"
East New York Post Office,"2645 Atlantic Ave, Brooklyn, NY 11207",Brooklyn,"(40.6761475, -73.896575)"
Farragut Post Office,"1284 Utica Ave, Brooklyn, NY 11203",Brooklyn,"(40.6412558, -73.92957559999999)"
Flatbush Post Office,"2273 Church Ave, Brooklyn, NY 11226",Brooklyn,"(40.6507865, -73.956385)"
Fort Ham Military Post Office,"301 General Lee Ave, Brooklyn, NY 11209",Brooklyn,"(40.6078653, -74.0278809)"
Fort Hamilton Post Office,"8801 5th Ave, Brooklyn, NY 11209",Brooklyn,"(40.6198523, -74.02716629999999)"
Gravesend Post Office,"344 Avenue U, Brooklyn, NY 11223",Brooklyn,"(40.59682650000001, -73.97170799999999)"
Greenpoint Post Office,"66 Meserole Ave, Brooklyn, NY 11222",Brooklyn,"(40.7263098, -73.9544921)"
Halsey Post Office,"805 Macdonough St, Brooklyn, NY 11233",Brooklyn,"(40.6845711, -73.91395250000001)"
Highlawn Post Office,"1714 W 6th St Ste 1, Brooklyn, NY 11223",Brooklyn,"(40.6054746, -73.97941019999999)"
Homecrest Post Office,"2302 Avenue U, Brooklyn, NY 11229",Brooklyn,"(40.5995265, -73.9483583)"
Homecrest 2 Post Office,"2370 E 19th St, Brooklyn, NY 11229",Brooklyn,"(40.5931767, -73.9517335)"
James E Davis Post Office,"315 Empire Blvd, Brooklyn, NY 11225",Brooklyn,"(40.6641168, -73.95182539999999)"
Kensington Post Office,"419 McDonald Ave, Brooklyn, NY 11218",Brooklyn,"(40.6438492, -73.979238)"
Kingsway Post Office,"1610 E 19th St Ste 1, Brooklyn, NY 11229",Brooklyn,"(40.6106397, -73.9550746)"
Major Robert Owens Post Office,"1234 Saint Johns Pl, Brooklyn, NY 11213",Brooklyn,"(40.6706032, -73.93750399999999)"
Martin Luther King Jr Post Office,"9402 Church Ave, Brooklyn, NY 11212",Brooklyn,"(40.6545638, -73.91667079999999)"
Metropolitan Post Office,"47 Debevoise St, Brooklyn, NY 11206",Brooklyn,"(40.7018292, -73.9412522)"
Midwood Post Office,"1288 Coney Island Ave, Brooklyn, NY 11230",Brooklyn,"(40.6260931, -73.9656376)"
Midwood Annex Post Office,"1632 McDonald Ave, Brooklyn, NY 11230",Brooklyn,"(40.612904, -73.974143)"
Municipal Post Office,"210 Joralemon St Fl 1, Brooklyn, NY 11201",Brooklyn,"(40.6920472, -73.99043619999999)"
Neptune Post Office,"626 Sheepshead Bay Rd Ste 8, Brooklyn, NY 11224",Brooklyn,"(40.57886, -73.9753506)"
New Lots Post Office,"1223 Sutter Ave, Brooklyn, NY 11208",Brooklyn,"(40.6729095, -73.87255019999999)"
Newkirk Post Office,"1525 Newkirk Ave Ste 1, Brooklyn, NY 11226",Brooklyn,"(40.6361279, -73.96265939999999)"
Nostrand Post Office,"2934 Avenue X, Brooklyn, NY 11235",Brooklyn,"(40.5935983, -73.94013819999999)"
Ovington Post Office,"6803 4th Ave Ste 1, Brooklyn, NY 11220",Brooklyn,"(40.6350357, -74.0229696)"
Ozone Park Carrier Annex Post Office,"1050 Forbell St Rm 2098, Brooklyn, NY 11256",Brooklyn,"(40.6635394, -73.862869)"
Park Slope Post Office,"198 7th Ave Ste a, Brooklyn, NY 11215",Brooklyn,"(40.6709952, -73.9783427)"
Parkville Post Office,"6618 20th Ave, Brooklyn, NY 11204",Brooklyn,"(40.6156849, -73.9870892)"
Pratt Post Office,"609 Myrtle Ave Ste a, Brooklyn, NY 11205",Brooklyn,"(40.69439819999999, -73.9595886)"
Prospect Park West Post Office,"225 Prospect Park W Ste a, Brooklyn, NY 11215",Brooklyn,"(40.6599634, -73.98040879999999)"
Red Hook Post Office,"615 Clinton St, Brooklyn, NY 11231",Brooklyn,"(40.6740812, -74.0018723)"
Restoration Plaza Post Office,"1360 Fulton St Ste 1, Brooklyn, NY 11216",Brooklyn,"(40.679977, -73.946568)"
Rugby Post Office,"726 Utica Ave, Brooklyn, NY 11203",Brooklyn,"(40.6555512, -73.931095)"
Ryder Post Office,"1739 E 45th St, Brooklyn, NY 11234",Brooklyn,"(40.6182088, -73.9313437)"
Ryder Retail Post Office,"2222 Flatbush Ave, Brooklyn, NY 11234",Brooklyn,"(40.6153779, -73.9292541)"
Shirley a Chisholm Post Office,"1915 Fulton St, Brooklyn, NY 11233",Brooklyn,"(40.6790166, -73.9201934)"
